Number,Party,Total Contestants,Won,Second,Third,Party_Votes,Valid Votes
1,Indian National Congress,510,197,284,28,"11,88,94,702",39.50%
2,Janata Dal,244,143,59,28,"5,35,18,521",17.80%
3,Bharatiya Janta Party,225,85,36,76,"3,41,71,477",11.40%
4,Communist Party Of India (MARXIST),64,33,24,3,"1,96,91,309",6.50%
5,Independent,3713,12,23,131,"1,57,93,781",5.30%
6,Communist Party Of India,50,12,12,15,"77,34,697",2.60%
7,All India Anna Dravida Munnetra Kazhagam,11,11,0,0,"45,18,649",1.50%
8,Shiromani Akali Dal (SIMRANJIT SINGH MANN),9,6,1,0,"23,18,872",0.80%
9,Revolutionary Socialist Party,6,4,1,0,"18,54,276",0.60%
10,Bahujan Samaj Party,245,3,5,86,"62,13,390",2.10%
11,All India Forward Bloc,8,3,0,0,"12,61,310",0.40%
12,Jharkhand Mukti Morcha,12,3,1,3,"10,32,276",0.30%
13,Jammu & Kashmir National Conference,3,3,0,0,"71,194",0%
14,Telugu Desam,33,2,31,0,"99,09,728",3.30%
15,Muslim Leage,18,2,0,2,"9,74,234",0.30%
16,Indian Congress (SOCIALIST- SARAT CHANDRA SINHA),14,1,1,4,"9,78,377",0.30%
17,Indian Peoples Front,13,1,0,6,"7,37,551",0.20%
18,Allindia Majlis-E Ithehad-Ul-Mulimeen,8,1,0,6,"6,17,376",0.20%
19,Gorkha National Liberation Front,1,1,0,0,"4,35,070",0.10%
20,Kerala Congress(M),1,1,0,0,"3,52,191",0.10%
21,Shiv Sena,3,1,0,1,"3,39,426",0.10%
22,Marxist (CO-ORDINATION),1,1,0,0,"2,47,013",0.10%
23,Akhil Bharatiya Hindu Mahasabha,12,1,0,0,"2,17,514",0.10%
24,Maharashtrawadi Gomantak,1,1,0,0,"1,16,392",0%
25,Sikkim Sangram Parishad,1,1,0,0,"91,608",0%
26,Dravida Munetra Kazhagam,32,0,31,1,"71,96,099",2.40%
27,Janata Pary (JP),155,0,5,32,"30,29,743",1%
28,Pattali Makkal Katchi,33,0,1,22,"15,61,371",0.50%
29,Doordarshi Party,298,0,0,28,"13,38,566",0.40%
