Number,Party,Total Contestants,Won,Second,Third,Party_Votes,Valid Votes
1,Indian National Congress,479,364,73,23,"4,76,64,951",45%
2,Independent,533,38,69,108,"1,68,50,089",15.90%
3,Communist Party Of India,49,16,15,10,"34,87,401",3.30%
4,Socialist Party,254,12,75,73,"1,12,16,719",10.60%
5,Kisan Mazdoor Praja Party,145,9,20,35,"61,35,978",5.80%
6,Peoples Democratic Front,12,7,3,1,"13,67,404",1.30%
7,All India Gantantra Parishad,12,5,1,2,"9,59,749",0.90%
8,Shiromani Akali Dal,11,4,4,0,"10,47,611",1%
9,Akhil Bharatiya Hindu Mahasabha,31,4,7,12,"10,03,034",0.90%
10,The Tamil Nad Toilers Party,7,4,0,0,"8,89,292",0.80%
11,All India Bhartiya Jan Sangh,94,3,20,20,"32,46,361",3.10%
12,Akhil Bharatiya Ram Rajya Parishad,61,3,6,18,"20,91,898",2%
13,Jharkhand Party,7,3,0,2,"7,49,702",0.70%
14,Revolutionary Socialist Party,9,3,0,0,"4,68,108",0.40%
15,Common Weal Party,3,3,0,0,"3,25,398",0.30%
16,All India Scheduled Caste Federation,35,2,1,6,"25,21,695",2.40%
17,Peasants & Workers Party,13,2,5,2,"9,92,187",0.90%
18,Lok Sewak Sangh,4,2,0,1,"3,09,940",0.30%
19,Krishikar Lok Party,29,1,4,10,"14,89,615",1.40%
20,Forward Bloc (Marxist Group),22,1,2,5,"9,63,058",0.90%
21,Chota Nagpur Santhal Parganas Janta Party,6,1,1,2,"2,36,094",0.20%
22,Travancore Tamil Nad Congress Party,1,1,0,0,"1,15,893",0.10%
23,Madras State Muslim League Party,1,1,0,0,"79,470",0.10%
24,Zamindar Party,5,0,2,2,"2,91,300",0.30%
25,U.P. Praja Party,6,0,1,1,"2,13,656",0.20%
26,S.K. Paksha,3,0,0,1,"1,37,343",0.10%
27,Forward Bloc (Ruikar Group),6,0,0,0,"1,33,936",0.10%
28,Kamgar Kisan Paksha,3,0,1,2,"1,32,574",0.10%
29,Tribal Sangha,1,0,0,0,"1,16,629",0.10%
30,Kerala Socialist Party,1,0,1,0,"1,02,098",0.10%
31,Revolutionary Communist Party Of India,2,0,1,1,"67,275",0.10%
32,Justice Party,1,0,1,0,"63,254",0.10%
33,All India United Kisan Sabha,2,0,0,1,"60,254",0.10%
34,All India Republican Party,2,0,0,1,"57,815",0.10%
35,All India Republican Party,2,0,0,1,"44,286",0%
36,All Peoples Party,1,0,0,1,"36,851",0%
37,Tamil Nad Congress Party,1,0,0,1,"36,158",0%
38,Khasi-Jaintia Durbar,1,0,1,0,"32,987",0%
39,Saurashtra Khedut Sangh,1,0,1,0,"29,766",0%
40,Bolshevik Party Of India,1,0,0,1,"25,792",0%
41,All Manipur National Union,2,0,1,0,"22,083",0%
42,U.P. Revolutionary Socialist Party,2,0,0,1,"20,665",0%
43,Hill People Party,1,0,0,1,"17,350",0%
44,Praja Party,2,0,0,0,"16,955",0%
45,Kuki National Association,1,0,0,0,"12,155",0%
46,Punjab Depressed Class League,1,0,0,0,"11,789",0%
47,Pursharathi Panchayat,1,0,0,1,"10,778",0%
48,Cochin Party,1,0,0,0,"8,947",0%
49,Kisan Mazdoor Mandal,1,0,0,1,"8,808",0%
50,Hyderabad State Praja Party,1,0,0,0,"7,646",0%
51,Gandhi Sebak Seva,1,0,0,0,"7,196",0%
52,Kisan Janta Sanyukta Party,1,0,0,0,"6,390",0%
53,National Party Of India,1,0,0,0,"3,232",0%
54,Historical Research,1,0,0,0,"1,468",0%
