Number,Party,Total Contestants,Won,Second,Third,Party_Votes,Valid Votes,Valid Votes Contested,AC Leads,AC Second,AC Third
1,Indian National Congress,417,145,171,46,"10,34,08,949",26.50%,34.50%,1162,1399,396
2,Bharatiya Janta Party,364,138,133,71,"8,63,71,561",22.20%,34.40%,1077,1051,502
3,Communist Party Of India (MARXIST),69,43,9,5,"2,20,70,614",5.70%,42.40%,321,89,43
4,Samajwadi Party,237,36,22,33,"1,68,24,072",4.30%,10.30%,167,121,192
5,Rashtriya Janata Dal,42,24,3,1,"93,84,147",2.40%,31.30%,121,44,6
6,Bahujan Samaj Party,435,19,31,132,"2,07,65,229",5.30%,6.70%,109,145,1014
7,Dravida Munetra Kazhagam,16,16,0,0,"70,64,393",1.80%,58.30%,96,0,0
8,Shiv Sena,56,12,9,1,"70,56,255",1.80%,17.90%,68,57,13
9,Biju Janata Dal,12,11,1,0,"50,82,849",1.30%,51.10%,66,18,0
10,Communist Party Of India,34,10,5,7,"54,84,111",1.40%,23.70%,73,34,74
11,Nationalist Congress Party,32,9,12,2,"70,23,175",1.80%,34%,77,78,16
12,Janata Dal (United),73,8,17,30,"91,44,963",2.30%,17.70%,60,97,177
13,Shiromani Akali Dal,10,8,2,0,"35,06,681",0.90%,43.40%,62,26,2
14,Pattali Makkal Katchi,6,6,0,0,"21,69,020",0.60%,51.70%,53,7,0
15,Independent,2385,5,7,102,"1,65,49,900",4.20%,4.60%,68,104,730
16,Telugu Desam,33,5,28,0,"1,18,44,811",3%,42.80%,51,178,2
17,Telangana Rashtra Samithi,22,5,0,5,"24,41,405",0.60%,13.20%,29,6,41
18,Jharkhand Mukti Morcha,9,5,1,0,"18,46,843",0.50%,28.50%,24,9,9
19,Lok Jan Shakti Party,40,4,3,3,"27,71,427",0.70%,10%,29,19,10
20,Marumalarchi Dravida Munnetra Kazhagam,4,4,0,0,"16,79,870",0.40%,58.40%,24,0,0
21,Janata Dal (Secular),43,3,7,21,"57,32,296",1.50%,15.70%,56,39,170
22,Rashtriya Lok Dal,32,3,3,1,"24,63,607",0.60%,11.10%,22,12,7
23,Revolutionary Socialist Party,6,3,1,1,"16,89,794",0.40%,33.60%,20,8,6
24,All India Forward Bloc,10,3,0,0,"13,65,055",0.40%,18.90%,15,6,0
25,All India Trinamool Congress,33,2,24,6,"80,71,867",2.10%,30.10%,49,150,80
26,Asom Gana Parisad,12,2,4,4,"20,69,600",0.50%,23.50%,19,31,43
27,Jammu & Kashmir National Conference,6,2,2,2,"4,93,067",0.10%,22.10%,25,30,23
28,Muslim League Kerala State Committee,10,1,1,0,"7,70,098",0.20%,9.60%,9,5,0
29,Nagaland Peoples Front,3,1,0,0,"7,15,366",0.20%,31.80%,55,5,1
30,All India Majlis-E-Ittehadul Muslimoon,2,1,0,1,"4,17,248",0.10%,21.30%,4,1,6
31,Republican Party Of India (A),7,1,0,0,"3,67,510",0.10%,6.30%,5,1,0
32,National Loktantrik Party,18,1,0,0,"3,67,049",0.10%,2.80%,2,2,1
33,Kerala Congress,1,1,0,0,"3,53,905",0.10%,48.60%,7,0,0
34,Samajwadi Janata Party (RASHTRIYA),10,1,0,0,"3,37,386",0.10%,5.30%,3,2,1
35,Jammu & Kashmir Peoples Democratic Party,3,1,2,0,"2,67,457",0.10%,39.50%,23,20,3
36,Indian Federal Democratic Party,1,1,0,0,"2,56,411",0.10%,34.50%,3,3,1
37,Mizo National Front,1,1,0,0,"1,82,864",0%,52.90%,30,10,0
38,Bharatiya Navshakti Party,4,1,0,3,"1,71,080",0%,9.30%,1,0,20
39,Sikkim Democratic Front,1,1,0,0,"1,53,409",0%,71.30%,32,0,0
40,All India Anna Dravida Munnetra Kazhagam,33,0,33,0,"85,47,014",2.20%,35.70%,1,197,0
41,Indian National Lok Dal,20,0,4,7,"19,36,703",0.50%,12.60%,10,34,43
42,Communist Party Of India (MARXIST-LENINIST) (LIBERATION),65,0,1,9,"12,81,688",0.30%,2.70%,2,7,55
43,Apna Dal,86,0,0,1,"8,44,053",0.20%,1.50%,1,1,4
44,Gondvana Gantantra Party,31,0,1,4,"7,20,189",0.20%,3.60%,2,8,30
45,Haryana Vikas Party,9,0,1,0,"5,06,122",0.10%,6.90%,4,2,5
46,Jharkhand Party,57,0,1,5,"5,05,674",0.10%,1.20%,1,2,33
47,Bharipa Bahujan Mahasangh,16,0,0,5,"4,28,566",0.10%,3.60%,0,3,26
48,Shiromani Akali Dal (SIMRANJIT SINGH MANN),6,0,0,2,"3,87,682",0.10%,7.70%,2,2,14
49,Kannada Nadu Party,21,0,0,0,"3,49,183",0.10%,1.90%,0,0,8
50,Peasants And Workers Party Of India,3,0,1,2,"3,19,572",0.10%,14.80%,2,3,12
51,Republican Party Of India,18,0,0,1,"2,95,545",0.10%,2.20%,0,2,13
52,Suheldev Bhartiya Samaj Party,14,0,0,0,"2,75,267",0.10%,2.80%,0,1,1
53,Peoples Republican Party,2,0,1,1,"2,61,219",0.10%,16.30%,0,6,7
54,Kerala Congress(M),1,0,0,1,"2,09,880",0.10%,28.20%,0,2,5
55,Rashtriya Samanta Dal,21,0,0,1,"2,09,694",0.10%,1.40%,0,1,8
56,Samata Party,40,0,0,0,"2,01,276",0.10%,0.80%,0,0,6
57,Lok Bhalai Party,1,0,0,1,"1,87,787",0%,21.60%,0,2,7
58,All Jharkhand Students Union,5,0,0,2,"1,57,930",0%,5.20%,0,1,10
59,Marxist Coordination,1,0,0,1,"1,47,470",0%,15.70%,0,3,2
60,Rashtriya Samaj Paksha,13,0,0,1,"1,46,571",0%,1.50%,0,0,11
61,Rashtriya Parivartan Dal,3,0,0,1,"1,39,145",0%,6%,0,2,2
62,Jharkhand Disom Party,7,0,0,0,"1,35,685",0%,2.60%,0,0,2
63,Pyramid Party Of India,13,0,0,3,"1,30,362",0%,1.10%,0,0,25
64,Ekta Shakti,3,0,0,0,"1,26,924",0%,5%,0,2,3
65,Autonomous State Demand Committee,1,0,1,0,"1,01,808",0%,25.30%,1,1,3
66,Akhil Bharatiya Sena,1,0,0,1,"92,210",0%,26.50%,1,2,3
67,Akhil Bharat Hindu Mahasabha,33,0,0,1,"88,214",0%,0.40%,0,0,2
68,Federal Party Of Manipur,1,0,0,1,"88,179",0%,21.20%,4,11,8
69,Bihar People's Party,1,0,0,1,"86,418",0%,13%,0,0,6
70,Party For Democratic Socialism,2,0,0,1,"81,999",0%,5%,0,0,8
71,Samata Samaj Party,6,0,0,1,"78,791",0%,1.90%,0,0,4
72,Mahabharat Peples Party,1,0,0,0,"77,055",0%,12.40%,4,8,6
73,Arunachal Congress,1,0,1,0,"76,527",0%,34.70%,5,28,0
74,Jharkhand Party,8,0,0,1,"74,364",0%,1.40%,0,0,3
75,J & K National Panthers Party,7,0,0,0,"70,078",0%,2%,1,1,1
76,Indian Justice Party,29,0,0,0,"67,914",0%,0.30%,0,0,0
77,Jharkhand Party (NOREN),3,0,0,1,"67,782",0%,2.80%,0,1,2
78,"United Minorities Front, Assam",2,0,0,0,"64,657",0%,4.20%,0,2,0
79,Labour Party (Secular),20,0,0,0,"63,989",0%,0.40%,0,0,0
80,Rashtriya Swabhimaan Party,31,0,0,0,"58,296",0%,0.30%,0,0,0
81,Pragtisheel Manav Samaj Party,6,0,0,0,"54,746",0%,1.30%,0,0,0
82,Lok Rajya Party,8,0,0,1,"54,097",0%,0.90%,0,0,4
83,Bahujan Kisan Dal,9,0,0,0,"52,669",0%,0.90%,0,0,0
