Number,Party,Total Contestants,Won,Second,Third,Party_Votes,Valid Votes,Valid Votes Contested,AC Leads,AC Second,AC Third
1,Indian National Congress,440,206,144,44,"11,91,11,019",28.60%,35.80%,1539,1337,308
2,Bharatiya Janta Party,433,116,111,120,"7,84,35,381",18.80%,23.50%,875,887,860
3,Samajwadi Party,193,23,16,29,"1,42,84,638",3.40%,10.10%,119,98,136
4,Bahujan Samaj Party,500,21,52,113,"2,57,28,920",6.20%,6.70%,121,243,877
5,Janata Dal (United),55,20,3,3,"63,31,201",1.50%,16.10%,112,32,17
6,All India Trinamool Congress,35,19,8,1,"1,33,56,510",3.20%,38.50%,135,50,63
7,Dravida Munetra Kazhagam,22,18,4,0,"76,25,397",1.80%,44.90%,100,32,0
8,Communist Party Of India (MARXIST),82,16,36,8,"2,22,19,111",5.30%,31.80%,175,231,68
9,Biju Janata Dal,18,14,4,0,"66,12,552",1.60%,43.70%,97,19,9
10,Shiv Sena,47,11,7,4,"64,54,950",1.50%,18.60%,61,55,19
11,Independent,3831,9,10,51,"2,16,47,686",5.20%,5.50%,64,99,451
12,Nationalist Congress Party,68,9,17,4,"85,21,502",2%,17.40%,85,101,48
13,All India Anna Dravida Munnetra Kazhagam,23,9,14,0,"69,53,591",1.70%,39.10%,52,85,1
14,Telugu Desam,31,6,20,5,"1,04,81,659",2.50%,33.60%,61,114,37
15,Rashtriya Lok Dal,9,5,1,1,"18,21,054",0.40%,30.10%,21,10,4
16,Communist Party Of India,56,4,11,7,"59,51,888",1.40%,14.30%,44,81,82
17,Rashtriya Janata Dal,44,4,20,7,"52,80,084",1.30%,19.20%,36,109,31
18,Shiromani Akali Dal,10,4,6,0,"40,04,789",1%,43.40%,41,49,0
19,Janata Dal (Secular),33,3,1,18,"34,34,082",0.80%,12.60%,23,20,121
20,Jammu & Kashmir National Conference,3,3,0,0,"4,98,374",0.10%,47.80%,29,17,0
21,Telangana Rashtra Samithi,9,2,6,0,"25,82,326",0.60%,29.70%,17,30,8
22,Jharkhand Mukti Morcha,42,2,4,2,"16,65,173",0.40%,5%,8,23,18
23,Revolutionary Socialist Party,17,2,2,0,"15,73,650",0.40%,11.90%,10,18,0
24,All India Forward Bloc,22,2,1,0,"13,45,803",0.30%,8.60%,8,13,0
25,Muslim League Kerala State Committee,17,2,0,0,"8,77,494",0.20%,6.20%,13,1,1
26,Assam United Democratic Front,25,1,2,6,"21,84,553",0.50%,9%,25,7,47
27,Asom Gana Parisad,6,1,4,1,"17,73,103",0.40%,33%,16,27,14
28,Marumalarchi Dravida Munnetra Kazhagam,4,1,3,0,"11,12,908",0.30%,36.50%,10,14,0
29,Jharkhand Vikas Morcha (Prajatantrik),16,1,0,6,"9,63,274",0.20%,9.30%,6,6,29
30,Nagaland Peoples Front,1,1,0,0,"8,32,224",0.20%,70%,53,7,0
31,Haryana Janhit Congress (BL),10,1,0,1,"8,16,395",0.20%,10%,9,2,18
32,Viduthalai Chiruthaigal Katchi,3,1,1,0,"7,35,847",0.20%,30%,9,3,0
33,Bodaland Peoples Front,2,1,0,0,"6,56,430",0.20%,32.80%,10,3,2
34,Swabhimani Paksha,1,1,0,0,"4,81,025",0.10%,49.20%,4,2,0
35,Kerala Congress(M),1,1,0,0,"4,04,962",0.10%,50.10%,6,1,0
36,All India Majlis-E-Ittehadul Muslimoon,1,1,0,0,"3,08,061",0.10%,42.20%,6,0,0
37,Bahujan Vikas Aaghadi,1,1,0,0,"2,23,234",0.10%,30.50%,3,1,1
38,Sikkim Democratic Front,1,1,0,0,"1,59,351",0%,63.40%,31,0,0
39,Praja Rajyam Party,40,0,3,34,"65,90,046",1.60%,16.50%,14,32,207
40,Desiya Murpokku Dravida Kazhagam,40,0,0,32,"31,26,117",0.70%,10.10%,0,1,223
41,Pattali Makkal Katchi,7,0,6,1,"19,44,619",0.50%,34.70%,6,59,1
42,Lok Jan Shakti Party,106,0,8,5,"18,91,963",0.50%,2.40%,5,39,35
43,Maharashtra Navnirman Sena,11,0,2,9,"15,03,863",0.40%,20.80%,8,14,36
44,Indian National Lok Dal,5,0,5,0,"12,86,573",0.30%,29.30%,7,32,6
45,Communist Party Of India (MARXIST-LENINIST) (LIBERATION),80,0,1,3,"10,44,510",0.30%,1.80%,3,4,20
46,Kongu Nadu Munnetra Kazhagam,12,0,0,4,"5,79,703",0.10%,6%,0,2,17
47,Lok Satta Party,32,0,0,0,"5,57,376",0.10%,1.70%,0,0,1
48,Peace Party,20,0,0,0,"5,37,638",0.10%,3.80%,1,1,4
49,Jammu & Kashmir Peoples Democratic Party,6,0,3,1,"5,22,760",0.10%,20.10%,18,31,13
50,Apna Dal,43,0,0,0,"4,95,032",0.10%,1.70%,0,0,8
51,Bharipa Bahujan Mahasangh,39,0,1,0,"4,92,470",0.10%,1.60%,2,2,3
52,Republican Party Of India (A),54,0,1,0,"3,79,746",0.10%,1%,0,6,0
53,Kerala Congress,1,0,1,0,"3,33,688",0.10%,42.50%,0,7,0
54,Suheldev Bhartiya Samaj Party,20,0,0,0,"3,19,307",0.10%,2.40%,0,0,2
55,Republican Party Of India,17,0,1,0,"2,94,650",0.10%,2.40%,1,5,0
56,Pyramid Party Of India,51,0,0,0,"2,87,576",0.10%,0.60%,0,0,2
57,Loktantrik Samata Dal,28,0,0,1,"2,70,040",0.10%,1.60%,0,0,6
58,Mahagujarat Janta Party,16,0,0,3,"2,45,174",0.10%,2.30%,0,1,13
59,People's Democratic Alliance,1,0,1,0,"2,24,719",0.10%,29.80%,8,7,6
60,Gondvana Gantantra Party,28,0,0,2,"2,20,741",0.10%,1.10%,0,0,18
61,Rashtriya Samaj Paksha,32,0,0,1,"2,15,042",0.10%,0.90%,0,1,6
62,Ajsu Party,6,0,0,1,"2,00,523",0%,5%,1,0,1
63,Swatantra Bharat Paksha,4,0,0,1,"1,88,608",0%,5.60%,0,2,4
64,Indian Justice Party,62,0,0,0,"1,77,759",0%,0.40%,0,0,0
65,Rashtriya Samanta Dal,17,0,0,0,"1,53,455",0%,1.30%,0,1,1
66,Rashtriya Swabhimaan Party,8,0,0,1,"1,52,633",0%,2.90%,1,0,2
67,Rashtrawadi Sena,22,0,0,1,"1,44,735",0%,0.80%,0,0,8
68,Rashtriya Dehat Morcha Party,48,0,0,0,"1,39,404",0%,0.40%,0,0,0
