Number,Party,Total Contestants,Won,Second,Third,Party_Votes,Valid Votes
1,Indian National Congress,500,244,169,59,"10,12,85,692",36.40%
2,Bharatiya Janta Party,477,120,132,182,"5,58,43,074",20.10%
3,Janata Dal,312,59,70,118,"3,26,28,400",11.70%
4,Communist Party Of India (MARXIST),63,35,19,7,"1,70,74,699",6.10%
5,Communist Party Of India,43,14,10,9,"68,98,340",2.50%
6,Telugu Desam,35,13,21,1,"82,23,271",3%
7,All India Anna Dravida Munnetra Kazhagam,11,11,0,0,"44,70,542",1.60%
8,Jharkhand Mukti Morcha,14,6,0,2,"14,81,900",0.50%
9,Jharkhand Party,350,5,23,31,"92,95,062",3.30%
10,Shiv Sena,22,4,8,5,"22,08,712",0.80%
11,Revolutionary Socialist Party,9,4,1,0,"17,49,730",0.60%
12,Bahujan Samaj Party,243,3,9,28,"50,15,347",1.80%
13,All India Forward Bloc,19,3,0,0,"11,45,015",0.40%
14,Muslim Leage,20,2,0,2,"8,45,418",0.30%
15,Independent,5546,1,14,30,"1,15,62,697",4.20%
16,Asom Gana Parisad,14,1,6,5,"14,89,898",0.50%
17,Janata Dal (Gujrat),10,1,9,0,"13,99,702",0.50%
18,Indian Congress (SOCIALIST- SARAT CHANDRA SINHA),28,1,1,1,"9,82,954",0.40%
19,Allindia Majlis-E Ithehad-Ul-Mulimeen,2,1,0,0,"4,56,900",0.20%
20,Kerala Congress(M),1,1,0,0,"3,84,255",0.10%
21,Haryana Vikas Party,4,1,0,1,"3,31,794",0.10%
22,Nagaland Peoples Council,1,1,0,0,"3,28,015",0.10%
23,Manipur Peoples Party,1,1,0,0,"1,69,692",0.10%
24,Autonomous State Demand Committee,1,1,0,0,"1,39,785",0.10%
25,Sikkim Sangram Parishad,2,1,0,0,"1,06,247",0%
26,Dravida Munetra Kazhagam,30,0,29,1,"57,41,910",2.10%
27,Pattali Makkal Katchi,32,0,1,23,"12,83,065",0.50%
28,Indian Peoples Front,23,0,0,4,"6,44,891",0.20%
29,Natun Asom Gana Parishad,11,0,1,3,"4,94,628",0.20%
30,Karnataka Rajya Ryota Sangha,10,0,1,3,"4,90,275",0.20%
31,Doordarshi Party,321,0,0,1,"4,66,869",0.20%
32,Jharkhand Party,15,0,2,1,"3,50,699",0.10%
33,Bharatiya Republican Paksha,8,0,1,2,"3,27,941",0.10%
34,Kerala Congress,1,0,1,0,"3,19,933",0.10%
