Number,Party,Total Contestants,Won,Second,Third,Party_Votes,Valid Votes
1,Indian National Congress,490,371,82,23,"5,75,79,589",47.80%
2,Independent,542,42,97,132,"2,33,47,249",19.40%
3,Communist Party Of India,111,27,33,27,"1,07,54,075",8.90%
4,Praja Socialist Party,194,19,52,54,"1,25,42,666",10.40%
5,Ganatantra Parishad,15,7,1,1,"12,91,141",1.10%
6,All India Scheduled Caste Federation,22,6,1,3,"20,38,890",1.70%
7,Jharkhand Party,12,6,3,2,"7,51,830",0.60%
8,All India Bhartiya Jan Sangh,133,4,31,44,"71,93,267",6%
9,Peasants & Workers Party,7,4,2,1,"9,24,832",0.80%
10,Chota Nagpur Santhal Parganas Janta Party,13,3,1,5,"5,01,359",0.40%
11,Peoples Democratic Front,8,2,3,1,"10,44,032",0.90%
12,Forward Bloc (MARXIST),5,2,1,1,"6,65,341",0.60%
13,Akhil Bharatiya Hindu Mahasabha,19,1,4,7,"10,32,322",0.90%
14,Akhil Bharatiya Ram Rajya Parishad,17,0,3,4,"4,60,838",0.40%
15,Revolutionary Socialist Party,3,0,0,0,"3,08,742",0.30%
16,Praja Party,3,0,0,0,"1,40,742",0.10%
