Number,Party,Total Contestants,Won,Second,Third,Party_Votes,Valid Votes
1,Bharatiya Janta Party,388,182,125,75,"9,42,66,188",25.60%
2,Indian National Congress,477,141,159,88,"9,51,11,131",25.80%
3,Communist Party Of India (MARXIST),71,32,15,11,"1,89,91,867",5.20%
4,Samajwadi Party,166,20,43,21,"1,81,67,640",4.90%
5,All India Anna Dravida Munnetra Kazhagam,23,18,4,1,"67,31,550",1.80%
6,Rashtriya Janata Dal,116,17,18,1,"1,02,29,971",2.80%
7,Telugu Desam,35,12,20,2,"1,01,99,463",2.80%
8,Samata Party,57,12,9,3,"64,91,639",1.80%
9,Communist Party Of India,58,9,7,17,"64,29,569",1.70%
10,Biju Janata Dal,12,9,3,0,"36,69,825",1%
11,Shiromani Akali Dal,8,8,0,0,"30,01,769",0.80%
12,West Bengal Trinamool Congress,29,7,17,5,"89,20,583",2.40%
13,Janata Dal,191,6,13,88,"1,19,30,209",3.20%
14,Independent,1915,6,9,30,"87,19,952",2.40%
15,Shiv Sena,79,6,16,2,"65,28,566",1.80%
16,Dravida Munetra Kazhagam,18,6,12,0,"53,08,388",1.40%
17,Bahujan Samaj Party,251,5,23,103,"1,71,86,779",4.70%
18,Revolutionary Socialist Party,5,5,0,0,"20,32,585",0.60%
19,Haryana Lok Dal (RASTRIYA),7,4,2,1,"19,56,087",0.50%
20,Pattali Makkal Katchi,5,4,1,0,"15,48,976",0.40%
21,Republican Party Of India,20,4,0,0,"13,51,019",0.40%
22,Tamil Maanila Congress (MOOPANAR),20,3,17,0,"51,69,183",1.40%
23,Lok Shakti,33,3,4,4,"25,48,725",0.70%
24,Marumalarchi Dravida Munnetra Kazhagam,5,3,2,0,"16,02,504",0.40%
25,Jammu & Kashmir National Conference,6,3,3,0,"7,84,669",0.20%
26,All India Forward Bloc,4,2,1,1,"12,13,965",0.30%
27,Muslim League Kerala State Committee,7,2,0,0,"8,00,765",0.20%
28,Arunachal Congress,2,2,0,0,"1,72,496",0%
29,All India Rashtriya Janata Party,38,1,2,19,"20,71,643",0.60%
30,Samajwadi Janata Party (RASHTRIYA),20,1,1,4,"11,81,083",0.30%
31,Haryana Vikas Party,4,1,2,1,"8,75,803",0.20%
32,All India Majlis-E-Ittehadul Muslimoon,1,1,0,0,"4,85,785",0.10%
33,All India Indira Congress (SECULAR),9,1,1,0,"4,57,510",0.10%
34,"United Minorities Front, Assam",1,1,0,0,"3,57,759",0.10%
35,Kerala Congress(M),1,1,0,0,"3,56,168",0.10%
36,Peasants And Workers Party Of India,2,1,0,1,"2,69,609",0.10%
37,Janta Party,1,1,0,0,"2,66,202",0.10%
38,Manipur State Congress Party,2,1,0,1,"1,90,358",0.10%
39,Autonomous State Demand Committee,1,1,0,0,"1,84,241",0.10%
40,Sikkim Democratic Front,1,1,0,0,"1,02,440",0%
41,Jharkhand Mukti Morcha,16,0,2,6,"13,24,548",0.40%
42,Asom Gana Parisad,10,0,3,6,"10,64,977",0.30%
43,Communist Party Of India (MARXIST-LENINIST) (LIBERATION),41,0,0,7,"9,12,698",0.20%
44,Bharatiya Kisan Kamgar Party,27,0,1,3,"7,11,080",0.20%
45,Apna Dal,60,0,0,1,"5,62,946",0.20%
46,Puthiya Tamilagam,15,0,0,5,"4,46,583",0.10%
47,Ntr Telugu Desam Party (LAKSHMI PARVATHI),5,0,1,2,"3,84,211",0.10%
