Number,Party,Total Contestants,Won,Second,Third,Party_Votes,Valid Votes
1,Bharatiya Lok Dal,405,295,104,4,"7,80,62,828",41.30%
2,Indian National Congress,492,154,332,6,"6,52,11,589",34.50%
3,Communist Party Of India (MARXIST),53,22,21,4,"81,13,659",4.30%
4,All India Anna Dravida Munnetra Kazhagam,21,18,3,0,"54,80,378",2.90%
5,Independent,1224,9,18,334,"1,03,93,617",5.50%
6,Shiromani Akali Dal,9,9,0,0,"23,73,331",1.30%
7,Communist Party Of India,91,7,12,65,"53,22,088",2.80%
8,Peasants & Workers Party,6,5,1,0,"10,30,232",0.50%
9,Revolutionary Socialist Party,4,4,0,0,"8,51,164",0.50%
10,Indian National Congress (ORGANISATION),19,3,16,0,"32,52,217",1.70%
11,All India Forward Bloc,4,3,0,0,"6,33,644",0.30%
12,Dravida Munetra Kazhagam,19,2,17,0,"33,23,320",1.80%
13,Republican Party Of India (KHOBRAGADE),12,2,4,3,"9,56,072",0.50%
14,Muslim Leage,6,2,0,1,"5,65,007",0.30%
15,Kerala Congress,2,2,0,0,"4,91,674",0.30%
16,Jammu & Kashmir National Conference,3,2,1,0,"4,83,192",0.30%
17,All India Jharkhand Party,1,1,0,0,"1,26,288",0.10%
18,United Democratic Front,1,1,0,0,"1,24,627",0.10%
19,Maharashtrawadi Gomantak,2,1,1,0,"1,18,748",0.10%
20,Kerala Congress (PILLAI GROUP),3,0,3,0,"5,26,937",0.30%
21,Muslim League (OPPOSITION),2,0,2,0,"3,18,979",0.20%
22,Socialist Unity Centre Of India,18,0,0,10,"2,80,995",0.10%
23,Vishal Haryana,1,0,1,0,"1,92,867",0.10%
24,Republican Party Of India,5,0,1,1,"1,55,972",0.10%
25,Jharkhand Party,7,0,1,2,"1,16,961",0.10%
26,Manipur Peoples Party,2,0,2,0,"1,09,130",0.10%
27,Shoshit Samaj Dal (AKHIL BAHARATIYA),8,0,0,2,"96,753",0.10%
28,Revolutionary Communist Party Of India,1,0,0,1,"45,047",0%
29,Tripura Upajiti Juba Samiti,2,0,0,1,"35,916",0%
30,Akhil Bharat Hindu Mahasabha,3,0,0,2,"35,419",0%
31,Bihar Prant Hul Jharkhand,3,0,0,1,"27,116",0%
32,Akhil Bharatiya Ram Rajya Parishad,5,0,0,2,"26,169",0%
33,All India Labour Party,2,0,0,1,"17,191",0%
34,All India Gorkha League,1,0,0,0,"12,509",0%
35,All India Shiromani Baba Jivan Singh Mazabhi Dal,2,0,0,0,"5,868",0%
