Number,Party,Total Contestants,Won,Second,Third,Party_Votes,Valid Votes,Valid Votes Contested,AC Leads,AC Second,AC Third
1,Bharatiya Janta Party,428,282,54,78,"17,16,57,549",31.30%,40%,1883,550,601
2,Indian National Congress,464,44,224,66,"10,69,38,242",19.50%,22.60%,550,1748,531
3,All India Anna Dravida Munnetra Kazhagam,40,37,1,2,"1,81,15,825",3.30%,44.40%,222,16,24
4,All India Trinamool Congress,131,34,3,7,"2,12,59,681",3.90%,15.40%,215,55,90
5,Biju Janata Dal,21,20,1,0,"94,91,497",1.70%,44.80%,116,26,5
6,Shiv Sena,58,18,2,0,"1,02,62,982",1.90%,18%,100,19,1
7,Telugu Desam,30,16,8,6,"1,40,94,545",2.60%,40.50%,104,67,33
8,Telangana Rashtra Samithi,17,11,2,1,"67,36,490",1.20%,34.90%,67,22,17
9,Communist Party Of India (MARXIST),93,9,30,9,"1,79,86,773",3.30%,18.40%,118,194,69
10,Yuvajana Sramika Rythu Congress Party,38,9,17,0,"1,39,91,280",2.60%,32.10%,72,110,2
11,Nationalist Congress Party,36,6,17,4,"86,35,554",1.60%,25.90%,32,105,34
12,Lok Jan Shakti Party,7,6,1,0,"22,95,929",0.40%,37.70%,34,7,2
13,Samajwadi Party,197,5,31,33,"1,86,72,916",3.40%,9.60%,42,141,166
14,Aam Aadmi Party,432,4,9,47,"1,13,25,635",2.10%,2.60%,43,79,452
15,Rashtriya Janata Dal,30,4,22,2,"74,42,313",1.40%,28%,32,115,23
16,Shiromani Akali Dal,10,4,3,3,"36,36,148",0.70%,33.70%,29,43,17
17,Independent,3235,3,9,20,"1,67,43,719",3.10%,3.20%,58,84,220
18,All India United Democratic Front,18,3,0,4,"23,33,040",0.40%,11.30%,24,8,23
19,Rashtriya Lok Samta Party,4,3,0,0,"10,78,473",0.20%,32.40%,17,1,0
20,Jammu & Kashmir Peoples Democratic Party,5,3,0,2,"7,32,644",0.10%,21.40%,41,9,18
21,Janata Dal (United),93,2,4,30,"59,92,196",1.10%,6.80%,18,27,180
22,Janata Dal (Secular),34,2,2,17,"37,31,481",0.70%,10.10%,15,31,112
23,Indian National Lok Dal,10,2,3,5,"27,99,899",0.50%,24.40%,16,27,35
24,Jharkhand Mukti Morcha,21,2,1,2,"16,37,990",0.30%,7.90%,9,11,9
25,Indian Union Muslim League,25,2,0,1,"11,00,096",0.20%,4.10%,11,3,6
26,Apna Dal,7,2,0,0,"8,21,820",0.20%,12.20%,9,1,0
27,Communist Party Of India,67,1,6,11,"43,27,298",0.80%,6.70%,21,54,90
28,Pattali Makkal Katchi,9,1,0,6,"18,27,566",0.30%,20.10%,4,11,28
29,Revolutionary Socialist Party,6,1,3,1,"16,66,380",0.30%,25.80%,7,21,6
30,Swabhimani Paksha,2,1,1,0,"11,05,073",0.20%,49%,9,3,0
31,Naga Peoples Front,2,1,1,0,"9,94,505",0.20%,55.10%,61,12,6
