Number,Party,Total Contestants,Won,Second,Third,Party_Votes,Valid Votes
1,Bharatiya Janta Party,471,161,99,128,"6,79,50,851",20.30%
2,Indian National Congress,529,140,234,57,"9,64,55,493",28.80%
3,Janata Dal,196,46,45,45,"2,70,70,340",8.10%
4,Communist Party Of India (MARXIST),75,32,18,16,"2,04,96,810",6.10%
5,Tamil Maanila Congress (MOOPANAR),20,20,0,0,"73,39,982",2.20%
6,Samajwadi Party,111,17,33,20,"1,09,89,241",3.30%
7,Dravida Munetra Kazhagam,18,17,1,0,"71,51,381",2.10%
8,Telugu Desam,36,16,18,1,"99,31,826",3%
9,Shiv Sena,132,15,5,1,"49,89,994",1.50%
10,Communist Party Of India,43,12,7,10,"65,82,263",2%
11,Bahujan Samaj Party,210,11,21,73,"1,34,53,235",4%
12,Independent,10636,9,15,55,"2,10,41,557",6.30%
13,Samata Party,81,8,16,8,"72,56,086",2.20%
14,Shiromani Akali Dal,9,8,0,1,"25,34,979",0.80%
15,Asom Gana Parisad,11,5,4,2,"25,60,506",0.80%
16,Revolutionary Socialist Party,5,5,0,0,"21,05,469",0.60%
17,All India Indira Congress (TIWARI),321,4,1,31,"49,03,070",1.50%
18,All India Forward Bloc,16,3,0,0,"12,79,492",0.40%
19,Haryana Vikas Party,4,3,0,1,"11,56,322",0.30%
20,Muslim Leage,12,2,0,0,"7,57,316",0.20%
21,Jharkhand Mukti Morcha,29,1,2,5,"12,87,072",0.40%
22,Karnataka Congress Party,11,1,0,0,"5,81,868",0.20%
23,Kerala Congress(M),1,1,0,0,"3,82,319",0.10%
24,All India Majlis-E-Ittehadul Muslimoon,2,1,0,0,"3,40,070",0.10%
25,Madhya Pradesh Vikas Congress,1,1,0,0,"3,37,539",0.10%
26,Autonomous State Demand Committee,1,1,0,0,"1,80,112",0.10%
27,Maharashtrawadi Gomantak,2,1,0,1,"1,29,220",0%
28,Sikkim Democratic Front,1,1,0,0,"1,24,218",0%
29,United Goans Democratic Party,1,1,0,0,"1,09,346",0%
30,Ntr Telugu Desam Party (LAKSHMI PARVATHI),42,0,1,31,"32,49,267",1%
31,All India Anna Dravida Munnetra Kazhagam,10,0,10,0,"21,30,286",0.60%
32,Republican Party Of India,56,0,2,10,"14,54,363",0.40%
33,Marumalarchi Dravida Munnetra Kazhagam,25,0,0,14,"12,35,812",0.40%
34,Communist Party Of India (MARXIST-LENINIST) (LIBERATION),42,0,0,7,"8,08,065",0.20%
35,Pattali Makkal Katchi,16,0,1,5,"5,71,910",0.20%
36,Jharkhand Party,100,0,0,0,"4,86,772",0.10%
37,Peasants And Workers Party Of India,4,0,0,4,"4,37,805",0.10%
38,Indian Congress (SOCIALIST),26,0,1,0,"4,04,261",0.10%
39,Shiromani Akali Dal (SIMRANJIT SINGH MANN),7,0,1,1,"3,39,520",0.10%
40,Bharipa Bahujan Mahasangh,4,0,1,3,"3,29,695",0.10%
41,Kerala Congress,1,0,1,0,"3,20,539",0.10%
42,Jharkhand Mukti Morcha (MARDI),8,0,0,3,"2,99,055",0.10%
43,"United Minorities Front, Assam",3,0,1,0,"2,44,571",0.10%
44,Apna Dal,42,0,0,0,"2,22,669",0.10%
45,Forward Bloc (SOCIALIST),2,0,0,1,"1,72,685",0.10%
46,Gujarat Adijati Vikash Paksh,4,0,1,1,"1,66,003",0%
47,Janta Party,1,0,1,0,"1,44,249",0%
48,Federal Party Of Manipur,2,0,1,1,"1,20,557",0%
49,Marxist Coordination,1,0,0,1,"1,14,406",0%
50,Krantikari Samajwadi Manch,2,0,0,1,"1,13,975",0%
51,Mizo National Front,1,0,1,0,"1,11,710",0%
52,Jharkhand Party (NOREN),5,0,0,1,"1,02,111",0%
53,Jammu & Kashmir Panthers Party,5,0,0,0,"99,599",0%
54,Savarn Samaj Party,2,0,0,0,"84,725",0%
55,Jharkhand Party,9,0,0,0,"78,907",0%
56,Majlis Bachao Tahreek,2,0,0,0,"78,335",0%
57,Nag Vidarbha Andolan Samiti,2,0,0,0,"66,065",0%
